Name,TimeDate,power,baro,windspeed1,windspeed2,winddirection,temp,power_max,power_min,power_dev,baro_max,baro_min,baro_dev,windspeed1_max,windspeed1_min,windspeed1_dev,windspeed2_max,windspeed2_min,windspeed2_dev,winddirection_max,winddirection_min,winddirection_dev,temp_max,temp_min,temp_std,grid,fault,grid_max,grid_min,grid_std,fault_max,fault_min,fault_std,windcha,tlqd,K_temp,md,v3,cp
1,2016/11/9 21:00,584.27,992.29,8.22,8.01,149.84,-2.64,651.02,498.26,41.78,992.51,992.03,0.0,8.87,7.34,0.26,8.58,7.16,0.25,156.23,139.04,2.94,-2.47,-2.9,0.09,1.0,0,1,1,0.0,0,0,0,0.21,0.0316301703163,270.51,1.27790255687,555.412248,0.00151073383504
1,2016/11/9 23:10,668.01,990.28,8.23,8.02,148.13,-2.13,913.78,486.94,105.04,990.48,990.01,0.65,9.77,6.6,0.6,9.6,6.33,0.59,162.96,130.91,4.95,-2.0,-2.22,0.05,1.0,0,1,1,0.0,0,0,0,0.21,0.0729040097205,271.02,1.27291415474,557.441767,0.00172771419912
1,2016/11/9 22:00,695.98,991.58,8.29,8.08,144.63,-2.64,864.43,519.01,76.78,991.84,991.33,0.0,9.67,6.79,0.53,9.47,6.56,0.52,155.06,131.3,3.6,-2.47,-2.75,0.08,1.0,0,1,1,0.0,0,0,0,0.21,0.0639324487334,270.51,1.27698819633,569.722789,0.00175563344353
1,2016/11/9 23:30,690.91,989.74,8.31,8.1,143.32,-1.9,856.26,557.98,74.6,989.91,989.48,0.0,9.87,6.82,0.53,9.44,6.66,0.51,156.63,130.3,4.38,-1.9,-2.11,0.06,1.0,0,1,1,0.0,0,0,0,0.21,0.0637785800241,271.25,1.27114128546,573.856191,0.00173824961921
1,2016/11/10 7:40,819.84,982.01,8.32,8.57,189.7,2.07,1494.0,364.68,225.53,982.08,981.75,2.45,11.8,5.41,1.07,11.92,6.17,0.91,214.69,168.32,6.57,2.24,1.98,0.05,1.0,0,1,1,0.0,0,0,0,0.25,0.128605769231,275.22,1.24302072174,575.930368,0.00210168834766
1,2016/11/10 4:20,942.39,983.89,8.34,8.75,161.46,0.11,1420.45,658.25,188.19,984.15,983.68,0.0,11.2,4.97,1.23,10.98,6.86,0.83,181.68,145.17,5.61,0.28,-0.06,0.07,1.0,0,1,1,0.0,0,0,0,0.41,0.147482014388,273.26,1.25433324014,580.093704,0.00237687939564
1,2016/11/10 1:20,714.67,987.74,8.35,8.14,145.23,-1.59,1007.45,474.37,110.23,988.11,987.42,2.14,10.51,6.35,0.91,10.28,6.02,0.9,158.58,130.69,5.02,-1.5,-1.7,0.06,1.0,0,1,1,0.0,0,0,0,0.21,0.108982035928,271.56,1.26712450638,582.182875,0.00177792892411
1,2016/11/10 8:10,843.45,981.67,8.36,8.53,193.16,2.15,1485.52,592.87,145.25,981.88,981.53,0.8,12.01,5.76,1.2,11.77,6.32,1.08,228.31,158.3,7.14,2.16,1.97,0.06,1.0,0,1,1,0.0,0,0,0,0.17,0.143540669856,275.3,1.24222926543,584.277056,0.00213268303323
1,2016/11/10 22:50,763.27,975.61,8.4,8.28,224.83,2.51,1169.32,491.35,168.86,975.85,975.38,0.0,10.46,6.59,0.77,10.23,6.35,0.77,238.19,205.91,4.89,2.68,2.5,0.05,1.0,0,1,1,0.0,0,0,0,0.12,0.0916666666667,275.66,1.23294851015,592.704,0.00191682716159
1,2016/11/10 15:20,851.03,976.75,8.42,8.28,200.36,5.04,1384.94,557.35,172.91,976.95,976.52,0.0,11.05,5.8,0.92,10.33,6.1,0.84,228.07,179.01,6.51,5.05,4.96,0.01,1.0,0,1,1,0.0,0,0,0,0.14,0.109263657957,278.19,1.22316305282,596.947688,0.00213900500754
1,2016/11/10 8:00,891.96,981.83,8.43,8.61,192.14,2.15,1389.02,594.13,172.37,982.08,981.57,0.46,11.2,5.89,1.09,11.46,6.11,0.97,212.61,164.18,6.26,2.16,1.97,0.05,1.0,0,1,1,0.0,0,0,0,0.18,0.129300118624,275.3,1.24243173335,599.077107,0.00219926559272
