driver,trip,Average_speed,Average_ABS_Acceleration,Average_RPM,Variance_speed,Variance_ABS_Acceleration,Variance_RPM,v_a,v_b,v_c,v_d,a_a,a_b,a_c,r_a,r_b,r_c,Catrgory
41030404087,87,7,0.127591,1219.457627,48.90433,0.034706,306408.0111,0.544088,0.099198,0.26002,0.096693,0.70491,0.161323,0.133768,0.527054,0.38978,0.083166,cluster2
41030404087,88,3,0.092493,1065.043478,20.126385,0.009221,157546.9526,0.652516,0.253145,0.09434,0,0.595912,0.347484,0.056604,0.501572,0.498428,0,cluster2
41030404087,89,4,0.088775,1081.941176,20.311365,0.006764,127545.6838,0.533881,0.334702,0.131417,0,0.560575,0.37577,0.063655,0.457906,0.542094,0,cluster2
41030404087,90,3,0.193046,1145.333333,14.390432,0.07891,382427,0.738776,0.261224,0,0,0.595918,0.387755,0.016327,0.722449,0.016327,0.261224,cluster0
41030404087,91,4,0.135715,1264.333333,13.170868,0.04091,271557.5,0.594017,0.405983,0,0,0.581197,0.405983,0.012821,0.320513,0.542735,0.136752,cluster2
41030404087,92,7,0.138718,1247.4,43.441061,0.032205,306325.8688,0.440953,0.132286,0.345666,0.081095,0.505829,0.393817,0.100355,0.438419,0.447542,0.11404,cluster1
41030404087,93,6,0.107449,1146.630769,30.875067,0.0159,261613.3303,0.405902,0.281084,0.313014,0,0.646831,0.220126,0.133043,0.515239,0.422835,0.061925,cluster2
41030404087,94,12,0.13614,1382.675182,73.512902,0.085759,311444.6817,0.327191,0.135373,0.162262,0.375174,0.652295,0.276426,0.07128,0.337274,0.50904,0.153686,cluster1
41030404087,95,2,0.177965,933.942857,15.17111,0.32624,122614.5159,0.754284,0.196756,0.04896,0,0.641065,0.304468,0.054468,0.727968,0.272032,0,cluster0
41030404087,96,5,0.145362,1087.808824,25.58016,0.019303,171733.4405,0.5179,0.34463,0.091169,0.046301,0.487351,0.372792,0.139857,0.567064,0.402387,0.030549,cluster2
41031400114,1,2,0.225614,1195.4,5.385802,0.058617,32317.3,1,0,0,0,0.465753,0.383562,0.150685,0,1,0,cluster2
41031400114,2,12,0.223016,1590.244898,74.39214,0.265512,304739.96,0.249843,0.189189,0.132307,0.428661,0.597109,0.291955,0.110937,0.210559,0.531741,0.2577,cluster1
41031400114,3,9,0.158141,1435.902062,71.166567,0.15958,279254.3582,0.380866,0.195596,0.238117,0.185421,0.657859,0.256188,0.085953,0.283827,0.567502,0.148671,cluster1
41031400114,4,5,0.166612,1230.067308,21.714283,0.08965,106769.1508,0.456997,0.403633,0.130003,0.009367,0.652853,0.285268,0.061879,0.287539,0.703094,0.009367,cluster2
41031400114,5,2,0.115074,1140,6.03689,0.033232,60420.66667,0.851675,0.148325,0,0,0.789474,0.148325,0.062201,0.354067,0.645933,0,cluster0
41031400114,6,8,0.165537,1355.767313,65.974475,0.183717,229904.1013,0.511466,0.150123,0.130467,0.207944,0.660606,0.28665,0.052744,0.279853,0.594021,0.126126,cluster1
41031400114,7,4,0.208364,1211.125,30.327932,0.039115,145550.25,0.565657,0.290909,0.143434,0,0.430303,0.353535,0.216162,0.367677,0.549495,0.082828,cluster2
41031400114,8,9,0.164602,1429.276923,53.680059,0.094238,172519.7367,0.371711,0.151551,0.226269,0.25047,0.609727,0.25,0.140273,0.200893,0.718045,0.081062,cluster1
41031400114,9,8,0.196921,1438.705882,53.342543,0.506362,425536.2295,0.388162,0.264426,0.168947,0.178465,0.505057,0.396193,0.098751,0.348007,0.456573,0.195419,cluster1
41031400114,10,10,0.158826,1410.076923,56.783559,0.043949,243934.2537,0.275975,0.234497,0.203696,0.285832,0.597947,0.342505,0.059548,0.272279,0.577823,0.149897,cluster1
41031400114,11,7,0.108899,1160.230769,42.027651,0.014795,189049.6052,0.492477,0.23979,0.165273,0.10246,0.64557,0.24791,0.10652,0.430619,0.508001,0.06138,cluster2
41031400114,12,7,0.168878,1266.945946,40.299791,0.02474,148186.7192,0.434109,0.165375,0.315245,0.085271,0.409991,0.38932,0.200689,0.285099,0.714901,0,cluster1
41031400114,13,5,0.224633,1089.37931,32.195391,0.390157,137182.9764,0.619718,0.222644,0.151138,0.006501,0.552004,0.36403,0.083965,0.569339,0.425244,0.005417,cluster2
41031400114,14,13,0.107296,1607.588235,46.501883,0.013908,200952.6936,0.098324,0.224286,0.271862,0.405528,0.65111,0.249207,0.099683,0.044857,0.738106,0.217037,cluster1
41031400114,15,7,0.263812,1328.454545,30.143098,0.110904,168811.6727,0.271875,0.315625,0.4125,0,0.246875,0.625,0.128125,0.14375,0.85625,0,cluster1
41031400114,16,10,0.148846,1498.89,85.776554,0.049496,306129.412,0.424674,0.132562,0.137307,0.305457,0.604093,0.304864,0.091044,0.300415,0.492289,0.207295,cluster1
41031400114,17,11,0.22098,1493.835938,95.414703,0.488226,392147.839,0.423729,0.078265,0.154287,0.343719,0.6832,0.1832,0.133599,0.255484,0.518694,0.225823,cluster1
41031400114,18,6,0.116042,1163.767857,37.268318,0.024192,134685.2724,0.489519,0.203453,0.286683,0.020345,0.681874,0.215166,0.102959,0.347102,0.652898,0,cluster2
41031400114,19,8,0.180015,1327.703125,49.828972,0.157106,223620.7517,0.456814,0.153551,0.264875,0.12476,0.666027,0.302303,0.03167,0.360365,0.578695,0.06094,cluster1
41031400114,20,2,0.062188,1106.666667,8.800973,0.00343,114713.3333,0.809783,0.190217,0,0,0.728261,0.271739,0,0.36413,0.63587,0,cluster2
41031400114,21,14,0.173547,1593.22973,78.953454,0.079359,380394.015,0.421234,0.143744,0.115477,0.319545,0.689417,0.202344,0.108239,0.387797,0.357118,0.255084,cluster1
41031400114,23,4,0.366243,961.833333,28.639988,0.294488,189109.9697,0.672185,0.109272,0.218543,0,0.284768,0.380795,0.334437,0.625828,0.374172,0,cluster2
41031400114,24,5,0.107325,1222.75,24.50948,0.009464,235675.6429,0.423581,0.432314,0.144105,0,0.49345,0.50655,0,0.497817,0.502183,0,cluster2
41031400114,25,6,0.719418,1597.666667,56.471193,0.297871,101928.2667,0.219697,0.030303,0.257576,0.492424,0,0.75,0.25,0,0.507576,0.492424,cluster1
41031400114,26,12,0.15533,1619.863158,81.366181,0.038725,272181.0343,0.282068,0.148233,0.167539,0.40216,0.573953,0.246073,0.179974,0.144306,0.57199,0.283704,cluster1
41031400114,27,9,0.146617,1356.39823,45.1439,0.045189,149456.5275,0.35697,0.09025,0.41069,0.14209,0.684394,0.238517,0.077088,0.271824,0.678754,0.049423,cluster1
41031400114,28,2,0.061177,1126.5,0.617284,0.000137,14280.5,1,0,0,0,1,0,0,0,1,0,cluster2
41031400114,29,4,0.204002,1081.545455,15.354938,0.055909,32945.27273,0.688427,0.21365,0.097923,0,0.566766,0.317507,0.115727,0.175074,0.824926,0,cluster2
41031400114,30,7,0.436433,1365.375,18.660439,0.371704,105268.8393,0.426901,0.403509,0.169591,0,0.385965,0.567251,0.046784,0,1,0,cluster2
41031400114,31,6,0.143796,1217.842697,41.186247,0.196471,135529.8282,0.576277,0.133528,0.210319,0.079877,0.634213,0.260027,0.105759,0.449434,0.51097,0.039595,cluster2
41031400114,32,4,0.08067,1078.642857,27.213102,0.022123,145655.9053,0.787531,0.067519,0.101135,0.043816,0.828042,0.145525,0.026433,0.549634,0.418331,0.032036,cluster0
41031400114,33,5,0.16605,1239.174699,27.951458,0.178132,103636.0844,0.570035,0.227342,0.175046,0.027577,0.65243,0.306205,0.041365,0.36035,0.634101,0.005549,cluster2
41031400114,34,2,0.076369,1115.432203,11.413337,0.007338,100191.8543,0.778352,0.196073,0.025575,0,0.716869,0.257556,0.025575,0.477654,0.505296,0.01705,cluster0
41031400114,35,4,0.13577,1203.492308,29.475842,0.095286,116437.6317,0.662495,0.182348,0.115019,0.040138,0.72896,0.198964,0.072076,0.362754,0.618041,0.019206,cluster2
41031400114,36,6,0.159344,1267.672316,32.891791,0.35947,166392.892,0.616974,0.221869,0.108709,0.052448,0.784488,0.186586,0.028926,0.362683,0.587095,0.050223,cluster2
41031400114,37,4,0.086575,1149.909091,31.577055,0.013749,89958.77273,0.748538,0.114453,0.110276,0.026734,0.802005,0.142857,0.055138,0.451128,0.548872,0,cluster2
41031400114,38,5,0.133527,1299.232558,30.917774,0.045618,216869.4208,0.579495,0.199108,0.170134,0.051263,0.500743,0.497771,0.001486,0.309807,0.615156,0.075037,cluster2
41031400114,39,8,0.093182,1375.804878,36.385271,0.023357,124670.1256,0.332056,0.226054,0.312644,0.129246,0.729757,0.213793,0.05645,0.144317,0.814559,0.041124,cluster1
41031400114,40,6,0.192033,1218.892857,21.741704,0.065935,127604.3214,0.537782,0.328754,0.133464,0,0.687929,0.234544,0.077527,0.368989,0.631011,0,cluster2
41031400114,41,7,0.200078,1242.232558,20.458554,0.191542,77651.89701,0.262053,0.530327,0.207621,0,0.605754,0.328149,0.066096,0.220062,0.779938,0,cluster2
41031400114,42,8,0.096616,1267.066667,47.682882,0.014189,162515.5851,0.423503,0.120678,0.343503,0.112316,0.715254,0.165876,0.11887,0.338757,0.629831,0.031412,cluster1
41031400114,43,3,0.739766,1141,6.481481,0.64761,43708,0.814815,0.185185,0,0,0,0.703704,0.296296,0.703704,0.296296,0,cluster2
41031400114,44,11,0.147789,1552.722689,62.883011,0.029328,209297.5411,0.299559,0.138119,0.13475,0.427572,0.597046,0.213527,0.189427,0.172843,0.644467,0.18269,cluster1
41031400114,45,0,0,838.661017,0,0,96335.09001,1,0,0,0,1,0,0,1,0,0,cluster0
41031400114,46,8,0.327419,1549.933333,58.594881,0.246417,196959.7195,0.516539,0.012723,0.221374,0.249364,0.498728,0.048346,0.452926,0.215013,0.575064,0.209924,cluster1
41031400114,47,9,0.189633,1377.272727,48.298739,0.221761,147598.8,0.384477,0.255544,0.193914,0.166065,0.601857,0.283394,0.11475,0.208613,0.695977,0.09541,cluster1
41031400114,48,11,0.189493,1536.208054,50.87181,0.106535,214133.0983,0.234834,0.167195,0.310505,0.287466,0.599873,0.271401,0.128725,0.161911,0.732615,0.105475,cluster1
41031400114,49,11,0.193768,1465.066667,47.539236,0.097849,205545.7577,0.339178,0.195982,0.254977,0.209863,0.541005,0.352877,0.106119,0.306667,0.61242,0.080913,cluster1
41031400114,50,6,0.197697,1164.780488,34.182569,0.181467,153508.6756,0.504484,0.166667,0.294469,0.03438,0.705531,0.268311,0.026158,0.429746,0.570254,0,cluster2
41031400114,51,4,0.064188,1005.069444,33.752765,0.006098,124293.7275,0.744146,0.128361,0.075022,0.052472,0.695143,0.274068,0.030789,0.650477,0.346054,0.003469,cluster0
41031400114,52,8,0.099462,1254.982143,39.200212,0.045375,138735.8555,0.456292,0.126949,0.322105,0.094655,0.709076,0.255568,0.035356,0.260022,0.720212,0.019766,cluster1
41031400114,53,5,0.213891,1133.820513,35.017536,0.040277,194105.0459,0.60033,0.151941,0.227085,0.020644,0.464079,0.244426,0.291495,0.464079,0.50289,0.033031,cluster2
41031400114,54,6,0.152081,1217.98125,33.338159,0.050923,191421.1757,0.537695,0.193186,0.249728,0.019391,0.621421,0.262595,0.115984,0.438383,0.522472,0.039145,cluster2
41031400114,55,5,0.149869,1116.416667,22.775734,0.049056,143616.9225,0.581478,0.284951,0.093945,0.039626,0.680766,0.245325,0.073909,0.547195,0.437667,0.015138,cluster2
41031400114,56,2,0.062148,936.848485,9.656339,0.018463,62116.469,0.869281,0.084034,0.046685,0,0.896359,0.070962,0.03268,0.653128,0.346872,0,cluster0
41031400114,57,6,0.123522,1262.144928,40.596484,0.017108,188955.861,0.506352,0.253176,0.120236,0.120236,0.561706,0.392468,0.045826,0.387477,0.536751,0.075771,cluster2
41031400114,58,7,0.152129,1242.601852,28.589999,0.067388,145019.3073,0.478171,0.228614,0.269617,0.023599,0.582301,0.371386,0.046313,0.312094,0.661652,0.026254,cluster2
41031400114,59,5,0.133452,1111.357388,30.53478,0.061802,169593.3339,0.636203,0.189057,0.150029,0.024711,0.622965,0.280937,0.096097,0.499314,0.470779,0.029908,cluster2
41031400114,60,2,0.095635,998.538462,9.531299,0.017139,68830.10256,0.902655,0.097345,0,0,0.79646,0.19469,0.00885,0.610619,0.389381,0,cluster0
