driver,trip,v_avg,a_avg,r_avg,v_var,a_var,r_var,v_a,v_b,v_c,v_d,a_a,a_b,a_c,r_a,r_b,r_c
41030402427,82,11,0.328468,1489.155556,35.633729,1.097111,134893.5434,0.168798,0.238491,0.247442,0.345269,0.540921,0.368926,0.090153,0.124041,0.83312,0.042839
41030402427,83,8,0.20177,1368.340909,59.021207,0.414086,300785.9974,0.413324,0.1601,0.287966,0.13861,0.55659,0.269699,0.173711,0.404728,0.496777,0.098496
41030402427,84,0,0.021539,949.090909,1.902791,0.001644,53996.94372,1,0,0,0,0.902158,0.097842,0,0.690647,0.309353,0
41030402427,85,2,0.077687,1027.285714,11.895209,0.006172,146289.2143,0.75072,0.24928,0,0,0.694524,0.305476,0,0.704611,0.295389,0
41030402427,86,5,0.582672,894.571429,29.056437,0.675157,66195.28571,0.663366,0.277228,0.059406,0,0.613861,0,0.386139,0.80198,0.19802,0
41030402427,87,5,0.24854,1156.826087,26.160457,0.11876,270043.5138,0.522273,0.271889,0.205837,0,0.330261,0.474654,0.195084,0.522273,0.399386,0.078341
41030402427,88,5,0.132098,1182.894309,45.721074,0.082341,290644.5379,0.587636,0.232828,0.105874,0.073662,0.656324,0.27783,0.065846,0.557082,0.372809,0.070109
41030402427,89,6,0.164213,1178.6,33.337104,0.095019,189796.406,0.541545,0.20581,0.200405,0.05224,0.516325,0.381446,0.102229,0.473542,0.492457,0.034001
41030402427,90,7,0.20929,1262.786885,32.152862,0.128273,207070.9372,0.468379,0.288635,0.194009,0.048978,0.568711,0.324774,0.106515,0.483119,0.430338,0.086543
41030402427,91,4,0.098845,1174.565217,23.446204,0.011057,206114.7845,0.664042,0.203412,0.132546,0,0.580052,0.375328,0.044619,0.48622,0.44685,0.066929
41030402427,92,4,0.138351,1125.784946,25.18722,0.045343,188113.7793,0.660458,0.213754,0.125788,0,0.743266,0.176504,0.080229,0.453295,0.501719,0.044986
