REGION,DATE,WEEK,HOLIDAY,Min_T,Max_T,AVG_T,RAIN,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,4:00:00,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,12:00:00,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,AVG_ELE,TOTAL_ELE
NSW,2015/1/11,7,0,20.6,22.9,21.75,22,6821.88,6632.49,6480.87,6197.69,6044.22,5899.47,5859.74,5785.63,5738.03,5809.87,5818.38,5964.18,6006.08,6264.1,6540.13,6792.29,7037.14,7277.47,7525.17,7665.07,7669.94,7660.41,7613.59,7598.86,7576.82,7500.3,7488.62,7366.96,7378.62,7426.58,7432.11,7464.93,7466.65,7462.21,7529.61,7549.37,7558.59,7417.14,7348.58,7370.79,7365.01,7289.91,7140.54,7094.76,6945.17,6892.19,6718.23,6523.5,6958.539375,334009.89
NSW,2015/1/12,1,0,20.4,24.4,22.4,8,6449.66,6331.14,6164.86,5924.1,5757.31,5693.91,5654.33,5674.15,5758.04,5951.89,6197.67,6621.13,7018.29,7474.5,7870.75,8176.47,8493.37,8559.77,8617.87,8704.76,8789.77,8769.61,8684.02,8691.45,8683.26,8672.26,8622.73,8589.36,8611.96,8589.73,8601.49,8599.6,8617.01,8647.51,8661.39,8526.17,8482.89,8287.85,8244.24,8188.76,8215.4,8109.57,7874.37,7827.81,7608.24,7553.31,7494.12,7321.06,7722.060625,370658.91
NSW,2015/1/13,2,0,18.9,28.8,23.85,4.8,7213.94,6982.62,6800.29,6414.62,6178.73,6018.21,5976.47,5957.39,6069.25,6232.69,6434.83,6833.41,7224.51,7622.49,8030.74,8283,8508.88,8755.04,8845.08,8947.08,8977.26,9058.89,9068.4,9079.29,9137.09,9147.23,9261.42,9333.8,9411.6,9453.78,9602.31,9631.97,9648.03,9572.29,9458.15,9271.61,9137.82,8959.14,8852.82,8827.68,8813.36,8644.61,8366.12,8331.13,8063.49,7953.37,7759.34,7529.64,8201.685625,393680.91
NSW,2015/1/14,3,0,21.1,34.2,27.65,0.2,7389.71,7140.69,6909.3,6514.84,6273.61,6179.18,6072.62,6060.16,6163.03,6367.88,6542.24,6953.68,7341.92,7867.85,8382.99,8787.29,9068.4,9370.24,9520.11,9564.5,9674.29,9721.48,9768.8,9838.6,9925.75,10042.31,10138.5,10237.04,10318,10414.12,10496.58,10543.14,10631.19,10647.05,10520.61,10234.46,10039.47,9738.42,9440.05,9301.79,9296.43,9152.83,8772.89,8590.8,8255.05,8033.15,7821.78,7588.57,8701.112292,417653.39
NSW,2015/1/15,4,0,22,29,25.5,0,7385.31,7160.59,6884.24,6610.38,6372.96,6228.96,6161.66,6156.18,6209.12,6369.05,6548.1,6966.91,7340.33,7816.41,8178.75,8494.84,8725.24,8917.07,9049.56,9162.67,9219.14,9312.61,9382.56,9397.11,9391.13,9466.4,9500.34,9553.47,9550.88,9599.02,9633.89,9670.28,9748.21,9721.5,9746.14,9542.05,9419.66,9185.23,8988.05,8887.68,8891.42,8645.36,8447.67,8370.42,8102.53,7961.52,7772.99,7481.69,8360.985,401327.28
NSW,2015/1/16,5,0,21.2,27.6,24.4,0,7322.57,7086.22,6865.36,6590.33,6363.48,6269.41,6199.71,6211.61,6216.48,6436.36,6601.17,6987.79,7353.68,7777.19,8191.76,8536.29,8785.25,8925.74,9044.06,9149.1,9167.06,9211.06,9260.09,9262.82,9303.17,9378.37,9479.37,9521.64,9666.88,9760.14,9859.65,9934.23,10053.24,10098.17,10045.51,9836.07,9683.21,9427.04,9203.07,9050,9045.4,8863.61,8570.6,8519.79,8244.63,8014.91,7790.54,7469.33,8429.8575,404633.16
NSW,2015/1/17,6,0,20.7,35.7,28.2,0,7274.67,6895.32,6661.73,6370.2,6087.7,5926.94,5804.97,5772.38,5779.75,5875.73,5924.11,6029.57,6194.79,6452.97,6783.27,7128.94,7396.62,7605.89,7601.59,7799.8,7827.59,7927.88,8046.06,8153,8269.76,8360.81,8536.16,8659.58,8780.87,8911.16,9112.91,9216.54,9386.23,9425.65,9501.17,9391.13,9309.1,9156.59,8875.57,8676.75,8726.17,8601.37,8432.2,8234.3,7977.71,7822.07,7579.8,7307.36,7741.092292,371572.43
NSW,2015/1/18,7,0,20.7,29.1,24.9,0,7143.17,6900.86,6643.23,6323.86,6163.74,6022.82,5945.11,5933.54,5885.75,5953.83,5968.56,5959.35,6070.38,6293.82,6517.8,6806,7047.95,7329.95,7507.97,7671.86,7736.04,7873.77,7926.02,7995.49,8072.85,8148.62,8240.15,8335.97,8385.32,8433.06,8482.48,8577.52,8664.52,8704.93,8777.76,8750.68,8643.74,8478.58,8323.32,8355.65,8402.43,8320.38,8073.78,7860.56,7601.28,7450.54,7196.61,6969.99,7476.491458,358871.59
NSW,2015/1/19,1,0,20.9,22.7,21.8,0.2,6861.88,6698.3,6533.5,6218.69,6110.6,6034.02,5988.49,6008.5,6030.17,6293.47,6530.56,6943.41,7372.37,7714.01,8125.43,8446.7,8629.44,8749.57,8800.37,8796.8,8807.57,8756.76,8772.85,8667.64,8661.58,8668.19,8639.43,8626.38,8584.76,8564.48,8548.97,8483.57,8556.29,8566.67,8537.31,8381.32,8268.85,8172.66,8089.87,8053.5,7984.48,7839.93,7552.58,7545.75,7356.46,7306.91,7241.27,7098.35,7775.430417,373220.66
NSW,2015/1/20,2,0,18.1,24.8,21.45,8.6,6946.59,6763.37,6552.14,6252.93,6063.63,5928.68,5869.87,5863.44,5946.47,6164.09,6344.24,6809.64,7183.1,7536,7885.33,8123.53,8313.14,8466.35,8512.96,8586.95,8575.5,8609.5,8662.4,8552,8620.11,8659.28,8697.04,8704.8,8744.1,8725.26,8740.5,8799.27,8780.61,8718.41,8730.53,8525.03,8488.94,8286.95,8179.19,8209.8,8241.15,8047.79,7866.95,7797.68,7632.05,7552.24,7461.57,7385.92,7793.89625,374107.02
NSW,2015/1/21,3,0,19.7,28,23.85,24.8,7247.72,7060.96,6778.87,6469.11,6239.08,6114.64,6067.03,6065.08,6204.79,6384.26,6650.46,7079.33,7432.74,7772.63,8169.01,8447.58,8691.21,8957.79,9094.46,9173.09,9287.25,9356.92,9352.52,9388.62,9441.87,9487.49,9539.08,9605.4,9672.42,9709.37,9742.33,9738.97,9781.66,9721.15,9640.13,9339.64,9242.24,8980.28,8767.73,8739.49,8775.96,8630.76,8319.94,8265.51,8036.92,7929.86,7743.12,7484.7,8329.607708,399821.17
NSW,2015/1/22,4,0,22.5,28.3,25.4,0.4,7290.86,7099.08,6893.67,6584.73,6375.05,6220.49,6232.41,6225.76,6291.26,6512.11,6758.08,7109.91,7564.28,7962.48,8324.32,8689.64,8958.55,9218.54,9367.23,9515.65,9567.41,9604.71,9691.06,9703.25,9788.86,9933.04,10011.7,10063.22,10115.52,10169.99,10206.8,10254.88,10334.18,10282.91,10275.3,10055.81,9938.61,9669.83,9419.09,9356.38,9407.1,9191.86,8921.54,8784.5,8532.08,8415.13,8158.99,7865.46,8685.693958,416913.31
